lien_he,tu_van,bao_gia,demo,qtam,qd,tg,age,web_time,frac_react,frac_cmt,avg_res,target,size_Large,size_Medium,size_Micro,size_Small,role_CEO,role_Director,role_Engineer,role_Founder,role_Manager,role_Marketing,role_Procurement,role_Sales,channel_Web,channel_ZALO
0,0,0,0,1,1,0,52,290.5,0.141,0.007,2228,2,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1,1,0,0,1,1,0,52,287.9,0.198,0.013,3712,2,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1,0,0,0,1,0,0,44,76.1,0.043,0.006,21833,1,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,0,0,0,0,0,0,37,47.6,0.01,0.003,22317,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False
0,1,0,0,1,1,1,45,747.9,0.118,0.01,5246,2,False,False,True,False,False,False,False,False,False,False,True,False,False,False
1,1,1,1,1,1,1,57,1339.9,0.571,0.127,1227,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False
1,0,1,0,1,1,1,34,169.6,0.114,0.08,4934,2,False,False,False,True,False,False,False,False,False,False,False,True,True,False
0,0,0,0,0,0,0,37,55.0,0.023,0.01,72645,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1,1,1,1,1,0,1,60,1721.7,0.271,0.383,1116,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,1,1,1,1,0,1,47,3234.0,0.86,0.062,1025,3,False,True,False,False,True,False,False,False,False,False,False,False,False,False
1,1,1,1,1,0,1,63,3217.3,0.467,0.108,1134,3,False,True,False,False,False,True,False,False,False,False,False,False,True,False
1,1,1,1,1,1,1,51,963.0,0.319,0.155,1234,3,True,False,False,False,False,False,False,False,False,False,True,False,False,True
1,0,0,0,0,0,0,57,498.6,0.149,0.059,5277,2,False,False,False,True,False,False,False,False,False,True,False,False,True,False
0,1,0,0,1,0,0,28,688.0,0.206,0.013,2169,2,False,False,True,False,False,False,False,False,True,False,False,False,False,True
0,0,0,0,0,0,1,48,80.0,0.027,0.0,28048,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,1,0,1,1,1,53,606.5,0.443,0.373,1637,3,False,True,False,False,False,False,False,True,False,False,False,False,False,True
1,1,1,0,1,0,0,28,703.4,0.043,0.049,4719,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,1,1,0,1,1,1,32,3185.5,0.453,0.378,1196,3,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0,0,0,0,0,0,0,36,35.5,0.007,0.006,123458,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False
0,0,0,0,0,1,1,24,35.5,0.047,0.009,67637,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0,1,0,0,1,1,0,60,326.3,0.226,0.061,1873,2,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0,0,0,0,0,0,0,51,77.9,0.041,0.0,91039,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,1,1,0,1,1,1,55,825.7,0.812,0.364,1147,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0,0,0,0,0,0,0,22,33.7,0.005,0.008,110129,1,False,True,False,False,False,False,False,False,False,True,False,False,True,False
1,1,1,1,1,0,1,39,2809.7,0.399,0.374,1672,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False
1,0,0,0,1,0,0,37,760.0,0.222,0.022,6006,2,True,False,False,False,False,False,False,False,False,True,False,False,False,True
0,0,0,0,1,0,0,45,18.3,0.049,0.002,73190,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,0,0,0,1,0,1,27,10.1,0.022,0.005,144751,1,True,False,False,False,False,False,False,False,False,True,False,False,False,True
1,1,0,0,1,1,1,32,640.2,0.102,0.057,5141,2,False,True,False,False,False,True,False,False,False,False,False,False,False,True
0,0,0,0,0,1,0,39,38.0,0.021,0.006,88075,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,1,1,0,0,57,758.4,0.195,0.055,2440,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,1,0,0,1,1,1,32,2327.0,0.689,0.172,848,3,True,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,0,0,1,0,0,47,64.6,0.003,0.002,35413,1,False,False,False,True,False,False,False,False,False,True,False,False,True,False
1,1,1,0,1,1,1,57,819.8,0.194,0.041,2723,2,True,False,False,False,False,True,False,False,False,False,False,False,False,True
1,1,1,0,1,1,1,43,2740.6,0.326,0.154,1136,3,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,0,0,0,0,0,41,12.2,0.042,0.004,156712,1,False,False,False,False,False,False,False,False,False,False,False,True,False,True
1,1,0,1,1,1,1,50,2214.7,0.701,0.326,481,3,True,False,False,False,False,False,False,False,True,False,False,False,False,True
0,1,0,0,1,1,1,33,827.4,0.16,0.055,1287,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0,1,0,0,1,0,1,49,771.2,0.133,0.061,1026,2,False,True,False,False,False,False,False,False,False,False,False,True,False,True
1,1,1,1,1,1,1,29,2464.0,0.329,0.205,264,3,False,True,False,False,False,False,False,True,False,False,False,False,False,False
0,1,0,0,1,1,0,35,140.0,0.099,0.056,3674,2,False,True,False,False,False,False,False,False,True,False,False,False,True,False
1,0,0,0,0,1,1,32,535.5,0.176,0.01,5904,2,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1,0,0,0,0,1,0,49,89.4,0.048,0.003,144678,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1,1,1,1,1,1,1,43,1331.6,0.499,0.256,806,3,False,True,False,False,False,True,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,37,6.2,0.047,0.001,110142,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,1,0,0,1,0,0,40,489.1,0.147,0.037,6710,2,False,True,False,False,False,True,False,False,False,False,False,False,False,True
1,1,0,0,1,0,1,36,497.7,0.189,0.078,4897,2,False,False,False,True,False,False,False,False,False,False,True,False,True,False
1,1,0,0,1,1,0,27,664.0,0.058,0.07,4621,2,False,False,True,False,False,True,False,False,False,False,False,False,False,True
0,0,0,0,0,0,1,36,51.1,0.004,0.006,17653,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,0,0,0,0,0,46,48.7,0.045,0.003,157878,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False
1,1,1,1,1,1,1,41,2581.3,0.268,0.094,183,3,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0,0,0,0,0,0,0,38,31.8,0.013,0.008,158209,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1,0,0,1,1,0,35,762.9,0.233,0.038,4439,2,False,True,False,False,False,True,False,False,False,False,False,False,True,False
1,1,0,0,0,0,0,45,191.2,0.242,0.068,5312,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,1,1,0,1,0,1,53,460.0,0.209,0.078,4450,2,False,True,False,False,False,False,False,False,False,False,True,False,True,False
0,0,0,0,1,0,0,38,15.1,0.013,0.001,109552,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1,1,1,0,1,1,1,31,2467.9,0.524,0.194,135,3,False,True,False,False,False,False,False,False,False,False,True,False,False,True
0,0,0,0,0,0,0,35,6.6,0.02,0.002,33343,1,False,False,False,True,False,False,True,False,False,False,False,False,True,False
0,1,0,0,1,0,1,55,232.8,0.072,0.05,6713,2,False,False,False,True,False,False,False,False,False,False,False,True,True,False
1,1,1,0,1,1,1,60,2778.2,0.778,0.245,1381,3,True,False,False,False,True,False,False,False,False,False,False,False,False,True
0,1,0,0,1,0,0,37,302.2,0.201,0.008,6700,2,False,False,False,True,False,True,False,False,False,False,False,False,False,True
1,0,1,0,1,0,1,33,798.4,0.222,0.038,4908,2,False,False,False,False,False,True,False,False,False,False,False,False,False,True
1,1,0,0,1,1,1,32,2469.8,0.448,0.06,702,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True
1,1,1,1,1,1,1,59,805.3,0.623,0.371,495,3,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1,0,0,1,1,1,1,27,399.6,0.125,0.023,3975,2,False,True,False,False,False,False,False,False,True,False,False,False,False,True
1,0,0,1,1,0,1,34,318.1,0.086,0.006,7191,2,False,False,False,True,False,False,False,False,False,False,False,True,True,False
0,1,0,1,1,0,1,41,899.5,0.218,0.013,3724,2,True,False,False,False,False,False,False,False,False,True,False,False,False,False
1,1,0,1,1,0,1,28,725.1,0.081,0.065,2394,2,False,False,False,False,False,False,False,False,False,False,False,True,False,True
1,1,0,0,1,1,1,27,572.1,0.191,0.012,3017,2,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0,1,1,0,52,110.1,0.047,0.01,80969,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True
1,0,1,0,1,1,1,50,736.7,0.033,0.045,4325,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,0,0,0,1,1,0,60,625.2,0.17,0.04,6343,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False
0,0,0,0,1,0,0,26,57.2,0.034,0.007,145208,1,False,False,False,True,False,False,False,False,False,True,False,False,False,True
1,0,0,0,1,0,1,27,466.9,0.082,0.032,6217,2,False,True,False,False,False,False,False,False,False,False,True,False,False,True
1,1,0,0,1,1,1,30,159.5,0.103,0.079,7046,2,False,False,False,True,False,True,False,False,False,False,False,False,False,False
0,1,0,0,1,0,0,25,541.4,0.206,0.013,811,2,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0,0,0,0,0,0,0,28,12.3,0.022,0.004,159225,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,0,0,0,53,115.9,0.003,0.005,108881,1,False,True,False,False,False,False,False,False,False,False,False,True,True,False
0,1,0,1,1,0,0,60,533.8,0.13,0.05,1412,2,False,True,False,False,False,False,False,False,False,False,False,True,True,False
1,1,0,1,1,1,1,41,1841.4,0.771,0.178,1524,3,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,0,0,0,0,1,24,54.7,0.037,0.004,37708,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,1,0,0,1,1,1,28,394.3,0.157,0.021,5979,2,False,True,False,False,False,True,False,False,False,False,False,False,False,True
1,0,0,0,1,0,0,60,621.3,0.036,0.075,6280,2,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0,0,0,0,0,0,0,29,21.3,0.032,0.0,142662,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0,0,0,0,25,91.8,0.002,0.001,119759,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False
1,1,0,0,0,0,0,56,292.0,0.247,0.009,2274,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,0,0,0,0,0,0,47,66.2,0.012,0.006,96442,1,False,False,False,True,False,False,False,False,False,True,False,False,False,True
1,0,0,0,0,1,0,47,78.6,0.014,0.004,88736,1,False,False,False,False,False,False,False,False,False,False,False,True,True,False
1,0,0,0,0,0,0,26,51.1,0.004,0.009,92601,1,False,False,False,True,False,False,False,False,False,False,False,True,True,False
0,0,0,0,0,0,0,42,16.8,0.013,0.002,43673,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1,1,1,0,1,1,1,64,3372.5,0.573,0.265,1309,3,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,0,0,0,0,0,0,37,63.3,0.016,0.005,18513,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1,1,0,1,0,1,27,266.8,0.163,0.043,1106,2,True,False,False,False,False,True,False,False,False,False,False,False,True,False
1,1,1,0,1,0,1,53,243.8,0.112,0.026,3948,2,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1,1,1,0,1,1,1,49,1759.7,0.339,0.345,1264,3,False,True,False,False,False,False,False,False,False,False,True,False,True,False
1,1,1,1,1,0,1,53,3414.0,0.382,0.169,1651,3,False,True,False,False,False,False,False,False,False,False,True,False,True,False
0,0,0,0,1,1,1,25,46.7,0.009,0.002,131073,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False
1,0,0,0,0,0,0,54,43.7,0.038,0.001,102354,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,0,1,0,22,87.8,0.048,0.006,121283,1,True,False,False,False,False,False,True,False,False,False,False,False,True,False
0,1,0,0,1,1,0,48,62.8,0.021,0.002,55949,1,True,False,False,False,False,False,True,False,False,False,False,False,False,True
1,1,0,0,1,1,1,63,1455.2,0.722,0.131,1081,3,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0,0,0,0,0,0,0,21,62.7,0.012,0.01,101881,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,1,0,0,22,100.6,0.038,0.005,164909,1,False,True,False,False,False,False,False,False,False,False,False,True,True,False
0,0,0,0,1,0,0,53,32.3,0.006,0.002,171097,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1,1,1,0,1,1,1,29,1325.8,0.258,0.189,1289,3,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1,0,0,0,1,1,1,57,801.2,0.04,0.034,3658,2,False,False,False,False,False,False,False,False,True,False,False,False,False,True
0,0,0,0,0,0,0,41,67.8,0.041,0.002,125398,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1,1,1,0,1,0,1,57,731.4,0.3,0.046,665,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False
1,1,0,0,0,0,1,46,460.8,0.118,0.038,3767,2,False,True,False,False,False,False,False,False,True,False,False,False,False,True
0,0,0,0,0,0,0,25,74.3,0.041,0.005,87803,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,48,88.6,0.046,0.006,117617,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1,0,0,0,0,0,0,30,83.0,0.022,0.001,65464,1,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1,1,1,1,1,1,1,56,2889.3,0.58,0.226,845,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True
